countyFIPS,state_name,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,Biden_or_Trump
01001,Alabama,Autauga County,19764,7450,27639,12314,0.715076522305438,0.2695466550888237,0.4455298672166142,0
01003,Alabama,Baldwin County,83055,24344,108945,58711,0.7623571526917252,0.22345220065170496,0.5389049520400202,0
01005,Alabama,Barbour County,5605,4772,10457,833,0.5360045902266425,0.4563450320359568,0.07965955819068571,0
01007,Alabama,Bibb County,7508,1982,9573,5526,0.7842891465580278,0.20704063511960724,0.5772485114384206,0
01009,Alabama,Blount County,24595,2627,27459,21968,0.8956990422083834,0.09566990786263156,0.8000291343457518,0
01011,Alabama,Bullock County,1143,3439,4603,-2296,0.248316315446448,0.7471214425374756,-0.4988051270910277,1
01013,Alabama,Butler County,5448,3953,9466,1495,0.5755334882738221,0.41759983097401226,0.15793365729980985,0
01015,Alabama,Calhoun County,34964,15118,50743,19846,0.6890408529255266,0.2979327197840096,0.39110813314151693,0
01017,Alabama,Chambers County,8748,6356,15269,2392,0.5729255353985199,0.4162682559434148,0.1566572794551051,0
01019,Alabama,Cherokee County,10562,1619,12275,8943,0.8604480651731161,0.13189409368635438,0.7285539714867617,0
01021,Alabama,Chilton County,16052,3056,19260,12996,0.8334371754932502,0.15867082035306335,0.6747663551401869,0
01023,Alabama,Choctaw County,4294,3126,7461,1168,0.5755260688915695,0.4189786891837555,0.15654737970781402,0
01025,Alabama,Clarke County,7310,5730,13102,1580,0.5579300870096169,0.43733781102121816,0.12059227598839872,0
01027,Alabama,Clay County,5589,1262,6913,4327,0.8084767828728483,0.18255460726168088,0.6259221756111675,0
01029,Alabama,Cleburne County,6472,672,7210,5800,0.8976421636615811,0.09320388349514563,0.8044382801664355,0
01031,Alabama,Coffee County,16832,5050,22180,11782,0.7588818755635708,0.2276825969341749,0.5311992786293959,0
01033,Alabama,Colbert County,17311,7057,24668,10254,0.7017593643586834,0.28607913085779146,0.4156802335008919,0
01035,Alabama,Conecuh County,3435,2951,6419,484,0.5351300825673782,0.4597289297398349,0.07540115282754327,0
01037,Alabama,Coosa County,3626,1794,5472,1832,0.6626461988304093,0.32785087719298245,0.3347953216374269,0
