countyFIPS,County Name,State,COVID Cases,COVID Deaths,Population,COVID Cases per 100k,COVID Deaths per 100k
05139,Union County,AR,1187,52,38682,3068.61,134.43
05141,Van Buren County,AR,215,3,16545,1299.49,18.13
05143,Washington County,AR,11881,154,239187,4967.24,64.38
05145,White County,AR,1622,33,78753,2059.6,41.9
05147,Woodruff County,AR,136,0,6320,2151.9,0.0
05149,Yell County,AR,1368,31,21341,6410.2,145.26
06000,Grand Princess Cruise Ship,CA,21,0,0,0.0,0.0
06001,Alameda County,CA,23994,463,1671329,1435.62,27.7
06003,Alpine County,CA,3,0,1129,265.72,0.0
06005,Amador County,CA,311,16,39752,782.35,40.25
06007,Butte County,CA,3144,53,219186,1434.4,24.18
06009,Calaveras County,CA,354,21,45905,771.16,45.75
06011,Colusa County,CA,557,6,21547,2585.05,27.85
06013,Contra Costa County,CA,19254,247,1153526,1669.14,21.41
06015,Del Norte County,CA,181,1,27812,650.8,3.6
06017,El Dorado County,CA,1388,4,192843,719.76,2.07
06019,Fresno County,CA,31409,443,999101,3143.73,44.34
06021,Glenn County,CA,685,3,28393,2412.57,10.57
06023,Humboldt County,CA,571,10,135558,421.22,7.38
06025,Imperial County,CA,13038,338,181215,7194.77,186.52
06027,Inyo County,CA,241,15,18039,1335.99,83.15
06029,Kern County,CA,34457,424,900202,3827.7,47.1
06031,Kings County,CA,8326,83,152940,5443.96,54.27
06033,Lake County,CA,704,17,64386,1093.41,26.4
06035,Lassen County,CA,765,1,30573,2502.21,3.27
06037,Los Angeles County,CA,309190,7074,10039107,3079.86,70.46
06039,Madera County,CA,5094,76,157327,3237.84,48.31
06041,Marin County,CA,7131,127,258826,2755.13,49.07
06043,Mariposa County,CA,81,2,17203,470.85,11.63
06045,Mendocino County,CA,1165,21,86749,1342.95,24.21
06047,Merced County,CA,9674,156,277680,3483.87,56.18
06049,Modoc County,CA,50,0,8841,565.55,0.0
06051,Mono County,CA,182,2,14444,1260.04,13.85
06053,Monterey County,CA,11802,96,434061,2718.97,22.12
06055,Napa County,CA,2021,16,137744,1467.21,11.62
06057,Nevada County,CA,642,9,99755,643.58,9.02
06059,Orange County,CA,60115,1483,3175692,1892.97,46.7
06061,Placer County,CA,4353,59,398329,1092.82,14.81
06063,Plumas County,CA,76,0,18807,404.1,0.0
06065,Riverside County,CA,68050,1319,2470546,2754.45,53.39
06067,Sacramento County,CA,26185,500,1552058,1687.11,32.22
06069,San Benito County,CA,1461,15,62808,2326.14,23.88
06071,San Bernardino County,CA,65207,1078,2180085,2991.03,49.45
06073,San Diego County,CA,57102,891,3338330,1710.5,26.69
06075,San Francisco County,CA,12454,148,881549,1412.74,16.79
06077,San Joaquin County,CA,22106,494,762148,2900.49,64.82
06079,San Luis Obispo County,CA,4298,32,283111,1518.13,11.3
06081,San Mateo County,CA,11371,161,766573,1483.36,21.0
06083,Santa Barbara County,CA,9944,128,446499,2227.1,28.67
06085,Santa Clara County,CA,25139,406,1927852,1303.99,21.06
06087,Santa Cruz County,CA,2884,26,273213,1055.59,9.52
06089,Shasta County,CA,2046,31,180080,1136.16,17.21
06091,Sierra County,CA,6,0,3005,199.67,0.0
06093,Siskiyou County,CA,241,0,43539,553.53,0.0
06095,Solano County,CA,7634,76,447643,1705.38,16.98
06097,Sonoma County,CA,9646,136,494336,1951.3,27.51
06099,Stanislaus County,CA,17979,401,550660,3264.99,72.82
06101,Sutter County,CA,1912,12,96971,1971.72,12.37
06103,Tehama County,CA,921,9,65084,1415.09,13.83
06105,Trinity County,CA,33,0,12285,268.62,0.0
06107,Tulare County,CA,17852,293,466195,3829.3,62.85
06109,Tuolumne County,CA,291,6,54478,534.16,11.01
06111,Ventura County,CA,14410,166,846006,1703.3,19.62
06113,Yolo County,CA,3266,60,220500,1481.18,27.21
06115,Yuba County,CA,1353,10,78668,1719.89,12.71
08001,Adams County,CO,15538,263,517421,3002.97,50.83
08003,Alamosa County,CO,360,9,16233,2217.7,55.44
08005,Arapahoe County,CO,13956,387,656590,2125.53,58.94
08007,Archuleta County,CO,68,0,14029,484.71,0.0
08009,Baca County,CO,37,0,3581,1033.23,0.0
08011,Bent County,CO,18,0,5577,322.75,0.0
08013,Boulder County,CO,5988,88,326196,1835.71,26.98
08014,Broomfield County and City,CO,1091,42,70465,1548.29,59.6
08015,Chaffee County,CO,433,20,20356,2127.14,98.25
08017,Cheyenne County,CO,15,0,1831,819.22,0.0
08019,Clear Creek County,CO,93,1,9700,958.76,10.31
08021,Conejos County,CO,82,0,8205,999.39,0.0
08023,Costilla County,CO,42,1,3887,1080.52,25.73
08025,Crowley County,CO,99,1,6061,1633.39,16.5
08027,Custer County,CO,24,0,5068,473.56,0.0
08029,Delta County,CO,217,3,31162,696.36,9.63
08031,Denver County,CO,19878,452,727211,2733.46,62.16
08033,Dolores County,CO,3,0,2055,145.99,0.0
08035,Douglas County,CO,4458,65,351154,1269.53,18.51
08037,Eagle County,CO,1521,10,55127,2759.08,18.14
08039,Elbert County,CO,246,3,26729,920.35,11.22
08041,El Paso County,CO,11214,204,720403,1556.63,28.32
08043,Fremont County,CO,839,2,47839,1753.8,4.18
08045,Garfield County,CO,1239,5,60061,2062.9,8.32
08047,Gilpin County,CO,30,0,6243,480.54,0.0
08049,Grand County,CO,159,1,15734,1010.55,6.36
08051,Gunnison County,CO,322,7,17462,1844.0,40.09
08053,Hinsdale County,CO,4,0,820,487.8,0.0
08055,Huerfano County,CO,38,2,6897,550.96,29.0
08057,Jackson County,CO,9,0,1392,646.55,0.0
08059,Jefferson County,CO,9533,319,582881,1635.5,54.73
08061,Kiowa County,CO,6,0,1406,426.74,0.0
08063,Kit Carson County,CO,139,3,7097,1958.57,42.27
08065,Lake County,CO,143,0,8127,1759.57,0.0
08067,La Plata County,CO,395,2,56221,702.58,3.56
08069,Larimer County,CO,4555,57,356899,1276.27,15.97
08071,Las Animas County,CO,85,0,14506,585.96,0.0
08073,Lincoln County,CO,25,0,5701,438.52,0.0
08075,Logan County,CO,1321,13,22409,5894.95,58.01
08077,Mesa County,CO,1757,16,154210,1139.36,10.38
08079,Mineral County,CO,21,0,769,2730.82,0.0
08081,Moffat County,CO,77,1,13283,579.69,7.53
08083,Montezuma County,CO,229,5,26183,874.61,19.1
08085,Montrose County,CO,493,13,42758,1153.0,30.4
08087,Morgan County,CO,913,48,29068,3140.91,165.13
08089,Otero County,CO,182,6,18278,995.73,32.83
08091,Ouray County,CO,40,2,4952,807.75,40.39
08093,Park County,CO,107,1,18845,567.79,5.31
08095,Phillips County,CO,61,0,4265,1430.25,0.0
08097,Pitkin County,CO,298,2,17767,1677.27,11.26
08099,Prowers County,CO,202,4,12172,1659.55,32.86
08101,Pueblo County,CO,2436,45,168424,1446.35,26.72
08103,Rio Blanco County,CO,31,0,6324,490.2,0.0
08105,Rio Grande County,CO,132,3,11267,1171.56,26.63
08107,Routt County,CO,230,9,25638,897.11,35.1
08109,Saguache County,CO,147,2,6824,2154.16,29.31
08111,San Juan County,CO,10,0,728,1373.63,0.0
08113,San Miguel County,CO,110,0,8179,1344.91,0.0
08115,Sedgwick County,CO,46,1,2248,2046.26,44.48
08117,Summit County,CO,778,4,31011,2508.79,12.9
08119,Teller County,CO,263,4,25388,1035.92,15.76
08121,Washington County,CO,106,0,4908,2159.74,0.0
08123,Weld County,CO,6766,159,324492,2085.11,49.0
08125,Yuma County,CO,227,1,10019,2265.7,9.98
09001,Fairfield County,CT,24155,1436,943332,2560.6,152.23
09003,Hartford County,CT,18184,1481,891720,2039.21,166.08
09005,Litchfield County,CT,2305,144,180333,1278.19,79.85
09007,Middlesex County,CT,2018,197,162436,1242.34,121.28
09009,New Haven County,CT,17352,1128,854757,2030.05,131.97
09011,New London County,CT,3803,142,265206,1433.98,53.54
09013,Tolland County,CT,1780,68,150721,1180.99,45.12
09015,Windham County,CT,1469,19,116782,1257.9,16.27
10001,Kent County,DE,3606,121,180786,1994.62,66.93
10003,New Castle County,DE,13259,353,558753,2372.96,63.18
10005,Sussex County,DE,8170,236,234225,3488.1,100.76
11001,Washington,DC,17369,646,705749,2461.07,91.53
12001,Alachua County,FL,10706,78,269043,3979.29,28.99
12003,Baker County,FL,1805,24,29210,6179.39,82.16
12005,Bay County,FL,6879,134,174705,3937.49,76.7
12007,Bradford County,FL,1241,15,28201,4400.55,53.19
12009,Brevard County,FL,11780,375,601942,1957.0,62.3
12011,Broward County,FL,86961,1526,1952778,4453.19,78.15
12013,Calhoun County,FL,731,14,14105,5182.56,99.26
12015,Charlotte County,FL,3741,161,188910,1980.31,85.23
12017,Citrus County,FL,3308,135,149657,2210.39,90.21
12019,Clay County,FL,6200,127,219252,2827.8,57.92
12021,Collier County,FL,14664,256,384902,3809.8,66.51
12023,Columbia County,FL,4300,79,71686,5998.38,110.2
12027,DeSoto County,FL,1685,29,38001,4434.09,76.31
12029,Dixie County,FL,910,11,16826,5408.3,65.38
12031,Duval County,FL,35429,523,957755,3699.17,54.61
12033,Escambia County,FL,13704,272,318316,4305.16,85.45
12035,Flagler County,FL,2181,39,115081,1895.19,33.89
12037,Franklin County,FL,784,4,12125,6465.98,32.99
12039,Gadsden County,FL,3072,56,45660,6727.99,122.65
12041,Gilchrist County,FL,614,18,18582,3304.27,96.87
12043,Glades County,FL,610,6,13811,4416.77,43.44
12045,Gulf County,FL,956,15,13639,7009.31,109.98
12047,Hamilton County,FL,910,10,14428,6307.18,69.31
12049,Hardee County,FL,1625,16,26937,6032.59,59.4
12051,Hendry County,FL,2242,44,42022,5335.3,104.71
12053,Hernando County,FL,3812,175,193920,1965.76,90.24
12055,Highlands County,FL,2706,118,106221,2547.52,111.09
12057,Hillsborough County,FL,48669,816,1471968,3306.39,55.44
12059,Holmes County,FL,932,12,19617,4750.98,61.17
12061,Indian River County,FL,3927,125,159923,2455.56,78.16
12063,Jackson County,FL,3162,83,46414,6812.6,178.83
12065,Jefferson County,FL,682,9,14246,4787.31,63.18
12067,Lafayette County,FL,1279,16,8422,15186.42,189.98
12069,Lake County,FL,8729,227,367118,2377.71,61.83
12071,Lee County,FL,23685,518,770577,3073.67,67.22
12073,Leon County,FL,12430,118,293582,4233.91,40.19
12075,Levy County,FL,1159,12,41503,2792.57,28.91
12077,Liberty County,FL,539,11,8354,6452.0,131.67
12079,Madison County,FL,1084,25,18493,5861.68,135.19
12081,Manatee County,FL,13550,330,403253,3360.17,81.83
12083,Marion County,FL,10977,350,365579,3002.63,95.74
12085,Martin County,FL,5425,167,161000,3369.57,103.73
12086,Miami-Dade County,FL,186809,3662,2716940,6875.71,134.78
12087,Monroe County,FL,2334,25,74228,3144.37,33.68
12089,Nassau County,FL,2504,52,88625,2825.39,58.67
12091,Okaloosa County,FL,6545,130,210738,3105.75,61.69
12093,Okeechobee County,FL,1763,38,42168,4180.9,90.12
12095,Orange County,FL,46725,560,1393452,3353.18,40.19
12097,Osceola County,FL,14380,207,375751,3827.0,55.09
12099,Palm Beach County,FL,52779,1588,1496770,3526.19,106.1
12101,Pasco County,FL,11063,244,553947,1997.12,44.05
12103,Pinellas County,FL,26214,823,974996,2688.63,84.41
12105,Polk County,FL,23306,623,724777,3215.61,85.96
12107,Putnam County,FL,2412,50,74521,3236.67,67.1
12109,St. Johns County,FL,6639,85,264672,2508.39,32.12
12111,St. Lucie County,FL,9179,336,328297,2795.94,102.35
12113,Santa Rosa County,FL,6021,88,184313,3266.73,47.74
12115,Sarasota County,FL,9811,344,433742,2261.94,79.31
12117,Seminole County,FL,10470,241,471826,2219.04,51.08
12119,Sumter County,FL,2960,86,132420,2235.31,64.94
12121,Suwannee County,FL,3022,78,44417,6803.7,175.61
12123,Taylor County,FL,1496,18,21569,6935.88,83.45
12125,Union County,FL,1147,45,15237,7527.73,295.33
12127,Volusia County,FL,13008,322,553284,2351.05,58.2
12129,Wakulla County,FL,1334,11,33739,3953.88,32.6
12131,Walton County,FL,2526,30,74071,3410.24,40.5
12133,Washington County,FL,1255,24,25473,4926.79,94.22
13001,Appling County,GA,1179,38,18386,6412.49,206.68
13003,Atkinson County,GA,486,6,8165,5952.24,73.48
13005,Bacon County,GA,637,16,11164,5705.84,143.32
13007,Baker County,GA,92,6,3038,3028.31,197.5
13009,Baldwin County,GA,2337,65,44890,5206.06,144.8
13011,Banks County,GA,574,8,19234,2984.3,41.59
13013,Barrow County,GA,2672,51,83240,3210.0,61.27
13015,Bartow County,GA,3714,96,107738,3447.25,89.11
13017,Ben Hill County,GA,887,34,16700,5311.38,203.59
13019,Berrien County,GA,503,14,19397,2593.18,72.18
13021,Bibb County,GA,6707,200,153159,4379.11,130.58
13023,Bleckley County,GA,514,27,12873,3992.85,209.74
13025,Brantley County,GA,473,13,19109,2475.27,68.03
13027,Brooks County,GA,553,26,15457,3577.67,168.21
13029,Bryan County,GA,1309,16,39627,3303.3,40.38
13031,Bulloch County,GA,3128,33,79608,3929.25,41.45
13033,Burke County,GA,901,12,22383,4025.38,53.61
13035,Butts County,GA,749,44,24936,3003.69,176.45
13037,Calhoun County,GA,277,10,6189,4475.68,161.58
13039,Camden County,GA,1459,18,54666,2668.93,32.93
13043,Candler County,GA,550,25,10803,5091.18,231.42
13045,Carroll County,GA,3428,77,119992,2856.86,64.17
13047,Catoosa County,GA,1493,23,67580,2209.23,34.03
13049,Charlton County,GA,649,10,13392,4846.18,74.67
13051,Chatham County,GA,9547,191,289430,3298.55,65.99
13053,Chattahoochee County,GA,1804,1,10907,16539.84,9.17
13055,Chattooga County,GA,976,29,24789,3937.23,116.99
13057,Cherokee County,GA,7364,102,258773,2845.74,39.42
13059,Clarke County,GA,5865,50,128331,4570.21,38.96
13061,Clay County,GA,124,3,2834,4375.44,105.86
13063,Clayton County,GA,8467,179,292256,2897.12,61.25
13065,Clinch County,GA,461,13,6618,6965.85,196.43
13067,Cobb County,GA,22375,459,760141,2943.53,60.38
13069,Coffee County,GA,2305,64,43273,5326.65,147.9
13071,Colquitt County,GA,2142,40,45600,4697.37,87.72
13073,Columbia County,GA,4500,66,156714,2871.47,42.11
13075,Cook County,GA,614,16,17270,3555.3,92.65
13077,Coweta County,GA,3018,63,148509,2032.2,42.42
13079,Crawford County,GA,196,6,12404,1580.14,48.37
13081,Crisp County,GA,664,23,22372,2968.0,102.81
13083,Dade County,GA,376,6,16116,2333.09,37.23
13085,Dawson County,GA,927,11,26108,3550.64,42.13
13087,Decatur County,GA,1315,35,26404,4980.31,132.56
13089,DeKalb County,GA,21678,403,759297,2855.01,53.08
13091,Dodge County,GA,638,19,20605,3096.34,92.21
13093,Dooly County,GA,379,18,13390,2830.47,134.43
13095,Dougherty County,GA,3318,191,87956,3772.34,217.15
13097,Douglas County,GA,4204,73,146343,2872.7,49.88
13099,Early County,GA,558,35,10190,5475.96,343.47
13101,Echols County,GA,246,2,4006,6140.79,49.93
13103,Effingham County,GA,1863,29,64296,2897.54,45.1
13105,Elbert County,GA,769,10,19194,4006.46,52.1
13107,Emanuel County,GA,1216,38,22646,5369.6,167.8
13109,Evans County,GA,489,7,10654,4589.83,65.7
13111,Fannin County,GA,838,27,26188,3199.94,103.1
13113,Fayette County,GA,2193,57,114421,1916.61,49.82
13115,Floyd County,GA,4114,61,98498,4176.73,61.93
13117,Forsyth County,GA,4906,54,244252,2008.58,22.11
13119,Franklin County,GA,962,18,23349,4120.09,77.09
13121,Fulton County,GA,31753,628,1063937,2984.48,59.03
13123,Gilmer County,GA,1064,22,31369,3391.88,70.13
13125,Glascock County,GA,52,2,2971,1750.25,67.32
13127,Glynn County,GA,3792,104,85292,4445.9,121.93
13129,Gordon County,GA,2455,47,57963,4235.46,81.09
13131,Grady County,GA,871,25,24633,3535.91,101.49
13133,Greene County,GA,584,25,18324,3187.08,136.43
13135,Gwinnett County,GA,31218,450,936250,3334.37,48.06
13137,Habersham County,GA,1909,76,45328,4211.52,167.67
13139,Hall County,GA,10845,179,204441,5304.71,87.56
13141,Hancock County,GA,419,44,8457,4954.48,520.28
13143,Haralson County,GA,673,11,29792,2259.0,36.92
13145,Harris County,GA,857,25,35236,2432.17,70.95
13147,Hart County,GA,601,17,26205,2293.46,64.87
13149,Heard County,GA,241,6,11923,2021.3,50.32
13151,Henry County,GA,6395,114,234561,2726.37,48.6
13153,Houston County,GA,3740,95,157863,2369.14,60.18
13155,Irwin County,GA,361,8,9416,3833.9,84.96
13157,Jackson County,GA,2473,42,72977,3388.74,57.55
13159,Jasper County,GA,249,4,14219,1751.18,28.13
13161,Jeff Davis County,GA,811,23,15115,5365.53,152.17
13163,Jefferson County,GA,857,33,15362,5578.7,214.82
13165,Jenkins County,GA,472,32,8676,5440.3,368.83
13167,Johnson County,GA,439,23,9643,4552.53,238.51
13169,Jones County,GA,657,17,28735,2286.41,59.16
13171,Lamar County,GA,432,20,19077,2264.51,104.84
13173,Lanier County,GA,320,7,10423,3070.13,67.16
13175,Laurens County,GA,2038,89,47546,4286.38,187.19
13177,Lee County,GA,756,30,29992,2520.67,100.03
13179,Liberty County,GA,1287,25,61435,2094.9,40.69
